symbol,name,atomic_number,category,description,application,fact,wiki_link
Ir,Иридий,77,Переходный металл,"Редкий, твёрдый металл с высокой устойчивостью к коррозии",Используется в термопарах и электрических контактах,Иридий — один из самых устойчивых к коррозии элементов.,https://ru.wikipedia.org/wiki/Иридий
Pt,Платина,78,Переходный металл,"Мягкий, редкий металл серебристо-белого цвета",Используется в ювелирных изделиях и автомобильных катализаторах,Платина устойчива к коррозии и широко используется в качестве катализатора.,https://ru.wikipedia.org/wiki/Платина
Au,Золото,79,Переходный металл,"Мягкий, жёлтый металл","Используется в ювелирных изделиях, электронике и монетах",Золото является одним из самых ценных и химически инертных металлов.,https://ru.wikipedia.org/wiki/Золото
Hg,Ртуть,80,Переходный металл,Тяжёлый серебристый жидкий металл,"Используется в термометрах, барометрах и осветительных приборах","Ртуть — единственный металл, который находится в жидком состоянии при комнатной температуре.",https://ru.wikipedia.org/wiki/Ртуть
Tl,Таллий,81,Постпереходный металл,"Мягкий, токсичный металл",Используется в инфракрасных оптических системах,Таллий является чрезвычайно токсичным и использовался в качестве яда.,https://ru.wikipedia.org/wiki/Таллий
Pb,Свинец,82,Постпереходный металл,"Тяжёлый, мягкий металл","Используется в аккумуляторах, радиационной защите и припоях",Свинец обладает отличной способностью поглощать радиацию.,https://ru.wikipedia.org/wiki/Свинец
Bi,Висмут,83,Постпереходный металл,Хрупкий металл серебристо-белого цвета,Используется в медицинских и косметических продуктах,Висмут является нетоксичной альтернативой свинцу.,https://ru.wikipedia.org/wiki/Висмут
Po,Полоний,84,Металлоид,Радиоактивный металл,Используется в ядерных батареях и как источник нейтронов,Полоний был открыт Марией Кюри в 1898 году.,https://ru.wikipedia.org/wiki/Полоний
At,Астат,85,Галоген,Редкий радиоактивный элемент,Имеет ограниченное применение в медицине,Астат является одним из самых редких элементов на Земле.,https://ru.wikipedia.org/wiki/Астат
Rn,Радон,86,Благородный газ,Радиоактивный благородный газ,Используется в радиотерапии,Радон является одним из самых плотных газов.,https://ru.wikipedia.org/wiki/Радон
Fr,Франций,87,Щелочной металл,Крайне радиоактивный металл,Практическое применение ограничено из-за его редкости и радиоактивности,Франций — один из самых редких элементов в земной коре.,https://ru.wikipedia.org/wiki/Франций
Ra,Радий,88,Щелочноземельный металл,Радиоактивный металл,Использовался в светящихся красках и радиотерапии,Радий был открыт Марией и Пьером Кюри в 1898 году.,https://ru.wikipedia.org/wiki/Радий
Ac,Актиний,89,Актиноид,Радиоактивный металл,Используется в радиотерапии,Актиний был первым открытым актиноидом.,https://ru.wikipedia.org/wiki/Актиний
Th,Торий,90,Актиноид,Радиоактивный металл,Используется в ядерных реакторах,Торий рассматривается как потенциальное топливо для ядерных реакторов.,https://ru.wikipedia.org/wiki/Торий
Pa,Протактиний,91,Актиноид,Редкий радиоактивный металл,Используется в ядерных исследованиях,Протактиний является одним из самых редких и дорогих элементов.,https://ru.wikipedia.org/wiki/Протактиний
U,Уран,92,Актиноид,Тяжёлый радиоактивный металл,Используется как топливо в ядерных реакторах,"Уран — самый тяжёлый элемент, который встречается в природе в значительных количествах.",https://ru.wikipedia.org/wiki/Уран
Np,Нептуний,93,Актиноид,Искусственно созданный радиоактивный металл,Используется в ядерных исследованиях,Нептуний назван в честь планеты Нептун.,https://ru.wikipedia.org/wiki/Нептуний
Pu,Плутоний,94,Актиноид,Радиоактивный металл,Используется как топливо в ядерных реакторах и ядерном оружии,Плутоний используется в космических аппаратах как источник энергии.,https://ru.wikipedia.org/wiki/Плутоний
Am,Америций,95,Актиноид,Радиоактивный металл,Используется в дымовых детекторах,Америций был открыт в 1944 году во время исследования продуктов деления урана.,https://ru.wikipedia.org/wiki/Америций
Cm,Кюрий,96,Актиноид,Радиоактивный металл,Используется в космических исследованиях как источник тепла,Кюрий был назван в честь Марии и Пьера Кюри.,https://ru.wikipedia.org/wiki/Кюрий
Bk,Берклий,97,Актиноид,Радиоактивный металл,Используется в научных исследованиях,Берклий был открыт в 1949 году в Калифорнийском университете.,https://ru.wikipedia.org/wiki/Берклий
Cf,Калифорний,98,Актиноид,Радиоактивный металл,Используется для старта ядерных реакций,Калифорний назван в честь штата Калифорния и был открыт в 1950 году.,https://ru.wikipedia.org/wiki/Калифорний
Es,Эйнштейний,99,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,Эйнштейний был назван в честь Альберта Эйнштейна.,https://ru.wikipedia.org/wiki/Эйнштейний
Fm,Фермий,100,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,Фермий был открыт во время испытаний первой водородной бомбы в 1952 году.,https://ru.wikipedia.org/wiki/Фермий
Md,Менделевий,101,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,Менделевий назван в честь Дмитрия Менделеева.,https://ru.wikipedia.org/wiki/Менделевий
No,Нобелий,102,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,Нобелий назван в честь Альфреда Нобеля.,https://ru.wikipedia.org/wiki/Нобелий
Lr,Лоуренсий,103,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,"Лоуренсий назван в честь Эрнеста Лоуренса, создателя циклотронов.",https://ru.wikipedia.org/wiki/Лоуренсий
Rf,Резерфордий,104,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Резерфордий был открыт в 1964 году в Объединённом институте ядерных исследований.,https://ru.wikipedia.org/wiki/Резерфордий
Db,Дубний,105,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Дубний был назван в честь города Дубна, где он был открыт.",https://ru.wikipedia.org/wiki/Дубний
Sg,Сиборгий,106,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Сиборгий назван в честь химика Гленна Сиборга.,https://ru.wikipedia.org/wiki/Сиборгий
Bh,Борий,107,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Борий назван в честь датского физика Нильса Бора.,https://ru.wikipedia.org/wiki/Борий
Hs,Хассий,108,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Хассий был впервые синтезирован в 1984 году в лаборатории в Дармштадте, Германия.",https://ru.wikipedia.org/wiki/Хассий
Mt,Мейтнерий,109,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Мейтнерий назван в честь Лизы Мейтнер, одной из первооткрывателей ядерного деления.",https://ru.wikipedia.org/wiki/Мейтнерий
Ds,Дармштадтий,110,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Дармштадтий назван в честь немецкого города Дармштадт, где он был впервые синтезирован.",https://ru.wikipedia.org/wiki/Дармштадтий
Rg,Рентгений,111,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Рентгений назван в честь немецкого физика Вильгельма Рентгена, первооткрывателя рентгеновских лучей.",https://ru.wikipedia.org/wiki/Рентгений
Cn,Коперниций,112,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Коперниций назван в честь астронома Николая Коперника.,https://ru.wikipedia.org/wiki/Коперниций
Nh,Нихоний,113,Постпереходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Нихоний был назван в честь Японии (Nihon означает ""Япония"" на японском языке).",https://ru.wikipedia.org/wiki/Нихоний
Fl,Флеровий,114,Постпереходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Флеровий назван в честь российского физика Георгия Флерова.,https://ru.wikipedia.org/wiki/Флеровий
Mc,Московий,115,Постпереходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Московий назван в честь Московской области, где был синтезирован.",https://ru.wikipedia.org/wiki/Московий
Lv,Ливерморий,116,Постпереходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Ливерморий назван в честь Национальной лаборатории Лоуренса в Ливерморе, США.",https://ru.wikipedia.org/wiki/Ливерморий
Ts,Теннессин,117,Галоген,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Теннессин назван в честь штата Теннесси, США.",https://ru.wikipedia.org/wiki/Теннессин
Og,Оганесон,118,Благородный газ,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Оганесон назван в честь российского учёного Юрия Оганесяна.,https://ru.wikipedia.org/wiki/Оганесон
